,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Menomonie,US,44.88,-91.92,52.0,57,90,10.29,overcast clouds
327,Hihya,EG,30.67,31.59,80.6,61,19,12.75,few clouds
328,Atambua,ID,-9.11,124.89,69.84,82,53,5.32,broken clouds
329,Buzmeyin,TM,38.05,58.21,55.4,34,0,4.7,clear sky
330,Omboue,GA,-1.57,9.26,75.83,80,66,7.05,broken clouds
331,Xunchang,CN,28.45,104.72,66.33,94,100,1.95,overcast clouds
332,Jasrana,IN,27.25,78.68,76.57,45,0,1.19,clear sky
333,Ambunti,PG,-4.24,142.84,71.62,98,100,0.81,heavy intensity rain
334,Sangmelima,CM,2.93,11.98,67.21,98,100,1.57,overcast clouds
335,Ketchikan,US,55.34,-131.65,53.6,100,75,11.41,broken clouds
336,Botou,CN,38.07,116.57,54.95,61,0,6.24,clear sky
337,Igrim,RU,63.19,64.42,47.84,86,93,8.03,overcast clouds
338,Vostok,RU,46.49,135.88,36.93,89,35,3.4,scattered clouds
339,Byron Bay,AU,-28.65,153.62,64.99,93,0,9.4,clear sky
340,Constitucion,CL,-35.33,-72.42,53.24,61,62,17.49,broken clouds
341,Poum,NC,-20.23,164.02,70.9,73,69,8.3,broken clouds
342,Iisalmi,FI,63.56,27.19,48.2,93,0,5.82,clear sky
343,Central Point,US,42.38,-122.92,78.8,29,1,2.01,smoke
344,La Ronge,CA,55.1,-105.28,46.4,52,90,6.93,overcast clouds
345,Oranjestad,AW,12.52,-70.03,87.8,66,20,17.22,few clouds
346,Loandjili,CG,-4.76,11.86,75.2,94,40,4.7,scattered clouds
347,Viedma,AR,-40.81,-63.0,48.42,48,11,14.65,few clouds
348,Paita,PE,-5.09,-81.11,66.43,75,87,17.18,overcast clouds
349,Vestmanna,FO,62.16,-7.17,46.4,93,100,12.75,light rain
350,Chicama,PE,-7.84,-79.15,71.49,59,9,10.04,clear sky
351,Xai-Xai,MZ,-25.05,33.64,71.76,89,66,14.79,broken clouds
352,Miri,MY,4.41,114.01,77.0,94,40,9.17,scattered clouds
353,Talas,TR,38.69,35.55,55.4,93,40,13.87,scattered clouds
354,Usinsk,RU,65.99,57.53,47.3,90,99,11.07,overcast clouds
355,Jacqueville,CI,5.21,-4.41,78.8,88,40,10.29,scattered clouds
356,Khandyga,RU,62.67,135.6,35.35,88,100,7.99,overcast clouds
357,Coquimbo,CL,-29.95,-71.34,59.0,62,0,14.99,clear sky
358,Evanston,US,42.04,-87.69,55.0,76,75,16.11,broken clouds
359,Pindushi,RU,62.92,34.58,46.0,89,38,1.36,scattered clouds
